F	x	x		x	FRONTMATTER	
T	2	eqfr5mst-00080.dita		Moving around marked text	Working with the OpenTM2 editor	
T	2	eqfr5mst-00081.dita		Working with bookmarks	Working with the OpenTM2 editor	
T	2	eqfr5mst-00082.dita		Working with lines and words	Working with the OpenTM2 editor	
T	1	eqfr5mst-00083.dita		Translation-specific functions	Working with the OpenTM2 editor	
T	2	eqfr5mst-00084.dita		Manipulating segments	Working with the OpenTM2 editor	
T	2	eqfr5mst-00085.dita		Manipulating documents	Working with the OpenTM2 editor	
T	3	eqfr5mst-00086.dita		Spellchecking	Working with the OpenTM2 editor	
T	3	eqfr5mst-00087.dita		Viewing other documents while translating	Working with the OpenTM2 editor	
T	1	eqfr5mst-00088.dita		Configuring the editor	Working with the OpenTM2 editor	
T	2	eqfr5mst-00089.dita		Customizing colors and fonts	Working with the OpenTM2 editor	
T	2	eqfr5mst-00090.dita		Displaying a ruler	Working with the OpenTM2 editor	
T	2	eqfr5mst-00091.dita		Displaying the cursor position	Working with the OpenTM2 editor	
T	2	eqfr5mst-00092.dita		Setting up the profile	Working with the OpenTM2 editor	
T	2	eqfr5mst-00093.dita		Sharing a profile	Working with the OpenTM2 editor	
C	0	x		x	Translation scenarios	eqfr5mst-00094.dita
T	1	eqfr5mst-00095.dita		Translating a new document	Translation scenarios	
T	2	eqfr5mst-00096.dita		Creating a folder	Translation scenarios	
T	2	eqfr5mst-00097.dita		Importing a new document	Translation scenarios	
T	2	eqfr5mst-00098.dita		Translating the document	Translation scenarios	
T	2	eqfr5mst-00099.dita		Postediting and viewing the translated document	Translation scenarios	
T	2	eqfr5mst-00100.dita		Exporting the translated document	Translation scenarios	
T	1	eqfr5mst-00101.dita		Translating updated documents	Translation scenarios	
T	1	eqfr5mst-00102.dita		Translating with one translator	Translation scenarios	
T	2	eqfr5mst-00103.dita		Working with the Workbench	Translation scenarios	
T	2	eqfr5mst-00104.dita		Working with the Translation Environment	Translation scenarios	
T	1	eqfr5mst-00105.dita		Translating with several translators	Translation scenarios	
T	2	eqfr5mst-00106.dita		Sharing translation resources	Translation scenarios	
T	1	eqfr5mst-00107.dita		Exchanging data with other people and systems	Translation scenarios	
T	2	eqfr5mst-00108.dita		Exchanging documents	Translation scenarios	
T	2	eqfr5mst-00109.dita		Exchanging dictionaries	Translation scenarios	
T	2	eqfr5mst-00110.dita		Exchanging terminology lists	Translation scenarios	
T	2	eqfr5mst-00111.dita		Exchanging Translation Memory databases	Translation scenarios	
T	2	eqfr5mst-00112.dita		Exchanging folders	Translation scenarios	
T	2	eqfr5mst-00113.dita		Exchanging markup tables	Translation scenarios	
C	0	x		x	General concepts	eqfr5mst-00114.dita
T	1	eqfr5mst-00115.dita		How a task is described	General concepts	
T	1	eqfr5mst-00116.dita		Export and import	General concepts	
T	1	eqfr5mst-00117.dita		Printing	General concepts	
T	2	eqfr5mst-00118.dita		Printing list windows	General concepts	
T	1	eqfr5mst-00119.dita		Windows	General concepts	
T	2	eqfr5mst-00120.dita		Message windows	General concepts	
T	2	eqfr5mst-00121.dita		Progress windows	General concepts	
T	1	eqfr5mst-00122.dita		Menus	General concepts	
T	1	eqfr5mst-00123.dita		Specifying an output file	General concepts	
T	1	eqfr5mst-00124.dita		Selecting multiple objects in list windows	General concepts	
T	1	eqfr5mst-00125.dita		Viewing and changing the details of a list item	General concepts	
T	2	eqfr5mst-00126.dita		Viewing selected details	General concepts	
T	2	eqfr5mst-00127.dita		Changing the details setting	General concepts	
T	1	eqfr5mst-00128.dita		Arranging and filtering list items	General concepts	
T	2	eqfr5mst-00129.dita		Arranging list items	General concepts	
T	2	eqfr5mst-00130.dita		Filtering list items	General concepts	
T	1	eqfr5mst-00131.dita		Viewing and changing the system preferences	General concepts	
C	0	x		x	Working with documents	eqfr5mst-00132.dita
T	1	eqfr5mst-00133.dita		Overview and terminology	Working with documents	
T	1	eqfr5mst-00134.dita		What you can do with documents	Working with documents	
T	1	eqfr5mst-00135.dita		Analyzing a document	Working with documents	
T	2	eqfr5mst-00136.dita		Analyzing documents using defaults	Working with documents	
T	2	eqfr5mst-00137.dita		Analyzing documents using Translation Memory databases	Working with documents	
T	2	eqfr5mst-00138.dita		Editing analysis Profiles	Working with documents	
T	2	eqfr5mst-00139.dita		Analyzing documents using dictionaries	Working with documents	
T	2	eqfr5mst-00140.dita		Maintaining abbreviation lists	Working with documents	
T	1	eqfr5mst-00141.dita		Closing a document	Working with documents	
T	1	eqfr5mst-00142.dita		Counting the number of words in a document	Working with documents	
T	1	eqfr5mst-00143.dita		Counting duplicate words in a document	Working with documents	
T	1	eqfr5mst-00144.dita		Counting the number and type of matches in a document	Working with documents	
T	1	eqfr5mst-00145.dita		Counting words in segments with fuzzy matches	Working with documents	
T	1	eqfr5mst-00146.dita		Dealing with specific document formats	Working with documents	
T	2	eqfr5mst-00148.dita		ANSI documents	Working with documents	
T	2	eqfr5mst-00149.dita		ASCII documents	Working with documents	
T	2	eqfr5mst-00150.dita		Assembler documents	Working with documents	
T	2	eqfr5mst-00151.dita		BookMaster and Information Presentation Facility documents	Working with documents	
T	2	eqfr5mst-00152.dita		FrameBuilder files	Working with documents	
T	2	eqfr5mst-00153.dita		HTML documents	Working with documents	
T	2	eqfr5mst-00154.dita		Interleaf files	Working with documents	
T	2	eqfr5mst-00156.dita		Microsoft PowerPoint documents	Working with documents	
T	2	eqfr5mst-00157.dita		Microsoft Word for Windows documents	Working with documents	
T	2	eqfr5mst-00158.dita		RTF documents	Working with documents	
T	2	eqfr5mst-00159.dita		SGML documents	Working with documents	
T	2	eqfr5mst-00160.dita		Unicode documents	Working with documents	
T	2	eqfr5mst-00161.dita		Windows help files	Working with documents	
T	1	eqfr5mst-00163.dita		Deleting a document	Working with documents	
T	1	eqfr5mst-00164.dita		Deleting documents from a folder based on a list	Working with documents	
T	1	eqfr5mst-00165.dita		Restore Deleted documents	Working with documents	
T	1	eqfr5mst-00166.dita		Exporting a document in OpenTM2 format	Working with documents	
T	1	eqfr5mst-00167.dita		Exporting a document in external format	Working with documents	
T	1	eqfr5mst-00168.dita		Exporting a document in external format with a path	Working with documents	
T	1	eqfr5mst-00169.dita		Exporting a document in validation format	Working with documents	
T	1	eqfr5mst-00170.dita		Exporting a document in plain XML format	Working with documents	
T	1	eqfr5mst-00171.dita		Export segments in tag groups	Working with documents	
T	1	eqfr5mst-00173.dita		Editing document revision marks for export	Working with documents	
T	1	eqfr5mst-00174.dita		Importing a document	Working with documents	
T	1	eqfr5mst-00175.dita		Importing a document in OpenTM2 format	Working with documents	
T	1	eqfr5mst-00176.dita		Importing a document in external format	Working with documents	
T	1	eqfr5mst-00177.dita		Importing a document in external format with a path	Working with documents	
T	1	eqfr5mst-00179.dita		Copying and moving documents between folders	Working with documents	
T	1	eqfr5mst-00180.dita		Opening a document	Working with documents	
T	1	eqfr5mst-00181.dita		Searching and replacing text in documents	Working with documents	
T	1	eqfr5mst-00182.dita		Search segments with fuzzy matches	Working with documents	
T	1	eqfr5mst-00183.dita		Spellchecking Documents or Folders	Working with documents	
T	1	eqfr5mst-00184.dita		Editing the spellcheck addendum	Working with documents	
T	1	eqfr5mst-00185.dita		Translating a document	Working with documents	
T	1	eqfr5mst-00186.dita		Opening and translating several documents	Working with documents	
T	1	eqfr5mst-00187.dita		Viewing the properties of a document	Working with documents	
T	1	eqfr5mst-00188.dita		Changing the properties of a document	Working with documents	
T	1	eqfr5mst-00189.dita		Viewing the details of a document	Working with documents	
T	1	eqfr5mst-00190.dita		Including notes for the translator	Working with documents	
T	2	eqfr5mst-00191.dita		Translator's notes in a source document	Working with documents	
T	2	eqfr5mst-00192.dita		Translator's notes in the Translation Environment	Working with documents	
T	1	eqfr5mst-00193.dita		Preview XML documents	Working with documents	
T	2	eqfr5mst-00194.dita		Step by step description to preview a XML document	Working with documents	
C	0	x		x	Working with folders	eqfr5mst-00195.dita
T	1	eqfr5mst-00196.dita		Overview and terminology	Working with folders	
T	1	eqfr5mst-00197.dita		What you can do with folders	Working with folders	
T	1	eqfr5mst-00198.dita		Analyzing all the documents in a folder	Working with folders	
T	1	eqfr5mst-00199.dita		Closing a folder	Working with folders	
T	1	eqfr5mst-00200.dita		Counting the words in all documents of a folder	Working with folders	
T	1	eqfr5mst-00201.dita		Creating a folder	Working with folders	
T	1	eqfr5mst-00202.dita		Dictionary Selection window	Working with folders	
T	1	eqfr5mst-00203.dita		Translation Memory Selection window	Working with folders	
T	1	eqfr5mst-00204.dita		Creating a subfolder	Working with folders	
T	1	eqfr5mst-00205.dita		Renaming a folder	Working with folders	
T	1	eqfr5mst-00206.dita		Deleting a folder	Working with folders	
T	1	eqfr5mst-00207.dita		Deleting a folder exported to the otm\export subdirectory	Working with folders	
T	1	eqfr5mst-00208.dita		Exporting a folder	Working with folders	
T	1	eqfr5mst-00209.dita		Importing a folder	Working with folders	
T	1	eqfr5mst-00210.dita		Importing a XLIFF folder	Working with folders	
T	1	eqfr5mst-00211.dita		Importing a folder into controlled folder	Working with folders	
T	1	eqfr5mst-00212.dita		Opening a folder	Working with folders	
T	1	eqfr5mst-00213.dita		Searching and replacing text across several documents in a folder	Working with folders	
T	1	eqfr5mst-00214.dita		Viewing the properties of a folder	Working with folders	
T	1	eqfr5mst-00215.dita		Changing the properties of a folder	Working with folders	
T	1	eqfr5mst-00216.dita		Viewing the details of a folder	Working with folders	
C	0	x		x	Working with Translation Memory databases	eqfr5mst-00217.dita
T	1	eqfr5mst-00218.dita		Overview and terminology	Working with Translation Memory databases	
T	1	eqfr5mst-00219.dita		Translation Memory matches	Working with Translation Memory databases	
T	1	eqfr5mst-00220.dita		What you can do with Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00221.dita		Creating a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00222.dita		Creating an external Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00223.dita		Format of an external Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00224.dita		The Translation Memory format	Working with Translation Memory databases	
T	2	eqfr5mst-00225.dita		SGML tags for external Translation Memory databases	Working with Translation Memory databases	
T	2	eqfr5mst-00226.dita		Control information of a Translation Memory segment	Working with Translation Memory databases	
T	1	eqfr5mst-00227.dita		Renaming a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00228.dita		Deleting a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00229.dita		Exporting a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00230.dita		Creating an Initial Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00231.dita		Importing a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00232.dita		Merging Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00233.dita		Archiving a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00234.dita		Organizing a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00235.dita		Revising an Initial Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00236.dita		The Initial Translation Memory editor	Working with Translation Memory databases	
T	2	eqfr5mst-00237.dita		File menu	Working with Translation Memory databases	
T	2	eqfr5mst-00238.dita		Edit menu	Working with Translation Memory databases	
T	2	eqfr5mst-00239.dita		Align menu	Working with Translation Memory databases	
T	2	eqfr5mst-00240.dita		Options menu	Working with Translation Memory databases	
T	2	eqfr5mst-00241.dita		Cursor menu	Working with Translation Memory databases	
T	2	eqfr5mst-00242.dita		Style menu	Working with Translation Memory databases	
T	1	eqfr5mst-00243.dita		Revising a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00244.dita		Searching a translation	Working with Translation Memory databases	
T	1	eqfr5mst-00245.dita		The Translation Memory editor	Working with Translation Memory databases	
T	2	eqfr5mst-00246.dita		File menu	Working with Translation Memory databases	
T	2	eqfr5mst-00247.dita		Edit menu	Working with Translation Memory databases	
T	2	eqfr5mst-00248.dita		Options menu	Working with Translation Memory databases	
T	2	eqfr5mst-00249.dita		Style menu	Working with Translation Memory databases	
T	1	eqfr5mst-00250.dita		Revising external Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00251.dita		Sharing LAN-based Translation Memories	Working with Translation Memory databases	
T	2	eqfr5mst-00251-A.dita		Connecting or disconnecting a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00251-B.dita		Deleting a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00251-C.dita		Finding the owner of a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00252.dita		Sharing WEB-based Translation Memories	Working with Translation Memory databases	
T	2	eqfr5mst-00252-1.dita		Installation of important Client components	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1A.dita		Downloading Axis2C to the OpenTM2 Client PC	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1B.dita		Installing Axis2C on the OpenTM2 Client PC	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1C.dita		Configure Axis2c on the OpenTM2 Client	Working with Translation Memory databases	
T	2	eqfr5mst-00252-2.dita		Installation of important Server components	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2A.dita		Installing MariaDB on the Server	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2B.dita		Setup and configure MariaDB on the Server	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2C.dita		Create a Shared Translation Memory on the Server	Working with Translation Memory databases	
T	2	eqfr5mst-00252-3.dita		A Translation Scenario using the OpenTM2 WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3A.dita		Creating a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3B.dita		Connecting or Disconnecting a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3C.dita		Deleting a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3D.dita		User List Operations	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3G.dita		Finding the owner of a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3H.dita		How to backup a WEB-based Shared Translation Memory DB	Working with Translation Memory databases	
T	1	eqfr5mst-00255.dita		Viewing the properties of a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00256.dita		Changing the properties of a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00257.dita		Viewing the details of a Translation Memory	Working with Translation Memory databases	
C	0	x		x	Working with dictionaries	eqfr5mst-00258.dita
T	1	eqfr5mst-00259.dita		Dictionary entry structure	Working with dictionaries	
T	1	eqfr5mst-00260.dita		Dictionary search criteria	Working with dictionaries	
T	1	eqfr5mst-00261.dita		Overview and terminology	Working with dictionaries	
T	1	eqfr5mst-00262.dita		What you can do with dictionaries	Working with dictionaries	
T	1	eqfr5mst-00263.dita		Creating an SGML-based dictionary	Working with dictionaries	
T	2	eqfr5mst-00264.dita		The structure of an SGML-based dictionary	Working with dictionaries	
T	3	eqfr5mst-00265.dita		Header section	Working with dictionaries	
T	3	eqfr5mst-00266.dita		Maptable section	Working with dictionaries	
T	3	eqfr5mst-00267.dita		Entry section	Working with dictionaries	
T	2	eqfr5mst-00268.dita		List of dictionary-entry fields and their SGML tags	Working with dictionaries	
T	2	eqfr5mst-00269.dita		Sample of an SGML-based dictionary	Working with dictionaries	
T	1	eqfr5mst-00270.dita		Creating a dictionary	Working with dictionaries	
T	1	eqfr5mst-00271.dita		Using an existing dictionary as model	Working with dictionaries	
T	1	eqfr5mst-00272.dita		Changing dictionary entry fields	Working with dictionaries	
T	1	eqfr5mst-00273.dita		Renaming a dictionary entry field	Working with dictionaries	
T	1	eqfr5mst-00274.dita		Adding a user-defined entry field	Working with dictionaries	
T	1	eqfr5mst-00275.dita		Defining a dictionary filter	Working with dictionaries	
T	1	eqfr5mst-00276.dita		Renaming a dictionary	Working with dictionaries	
T	1	eqfr5mst-00277.dita		Deleting a dictionary	Working with dictionaries	
T	1	eqfr5mst-00278.dita		Editing a dictionary entry	Working with dictionaries	
T	1	eqfr5mst-00279.dita		Exporting a dictionary	Working with dictionaries	
T	1	eqfr5mst-00280.dita		Importing a dictionary	Working with dictionaries	
T	1	eqfr5mst-00281.dita		Looking up a dictionary entry	Working with dictionaries	
T	1	eqfr5mst-00282.dita		Merging dictionaries	Working with dictionaries	
T	1	eqfr5mst-00283.dita		Opening a dictionary	Working with dictionaries	
T	1	eqfr5mst-00284.dita		Organizing a dictionary	Working with dictionaries	
T	1	eqfr5mst-00285.dita		Printing a dictionary	Working with dictionaries	
T	1	eqfr5mst-00286.dita		Defining the printout format	Working with dictionaries	
T	1	eqfr5mst-00287.dita		Protecting a dictionary	Working with dictionaries	
T	1	eqfr5mst-00288.dita		Searching for a dictionary entry	Working with dictionaries	
T	1	eqfr5mst-00289.dita		Sharing dictionaries	Working with dictionaries	
T	2	eqfr5mst-00290.dita		Accessing or disconnecting a shared dictionary	Working with dictionaries	
T	2	eqfr5mst-00291.dita		Deleting a shared dictionary	Working with dictionaries	
T	2	eqfr5mst-00292.dita		Hints and tips when working with a shared dictionary	Working with dictionaries	
T	2	eqfr5mst-00293.dita		Finding the owner of a shared dictionary	Working with dictionaries	
T	1	eqfr5mst-00294.dita		Viewing the properties of a dictionary	Working with dictionaries	
T	1	eqfr5mst-00295.dita		Changing the properties of a dictionary	Working with dictionaries	
T	1	eqfr5mst-00296.dita		Viewing the details of a dictionary	Working with dictionaries	
T	1	eqfr5mst-00297.dita		Option to select dictionary lookup for compound words in editor	Working with dictionaries	
T	1	eqfr5mst-00298.dita		Viewing style indicators for dictionary terms	Working with dictionaries	
C	0	x		x	Working with terminology lists	eqfr5mst-00299.dita
T	1	eqfr5mst-00300.dita		Overview and terminology	Working with terminology lists	
T	1	eqfr5mst-00301.dita		What you can do with terminology lists	Working with terminology lists	
T	1	eqfr5mst-00302.dita		Creating a terminology list	Working with terminology lists	
T	2	eqfr5mst-00303.dita		Creating a list of new terms or found terms	Working with terminology lists	
T	2	eqfr5mst-00304.dita		Creating an exclusion list	Working with terminology lists	
T	1	eqfr5mst-00305.dita		Creating an external terminology list	Working with terminology lists	
T	1	eqfr5mst-00306.dita		Deleting a terminology list	Working with terminology lists	
T	1	eqfr5mst-00307.dita		Exporting a terminology list	Working with terminology lists	
T	1	eqfr5mst-00308.dita		Importing a terminology list	Working with terminology lists	
T	1	eqfr5mst-00309.dita		Opening and changing a terminology list	Working with terminology lists	
T	1	eqfr5mst-00310.dita		Marking a term for a dictionary	Working with terminology lists	
T	1	eqfr5mst-00311.dita		Editing an exclusion list	Working with terminology lists	
T	1	eqfr5mst-00312.dita		Printing a terminology list	Working with terminology lists	
T	1	eqfr5mst-00313.dita		Viewing the details of a terminology list	Working with terminology lists	
C	0	x		x	Working with markup tables	eqfr5mst-00314.dita
T	1	eqfr5mst-00315.dita		Overview and terminology	Working with markup tables	
T	1	eqfr5mst-00316.dita		What you can do with markup tables	Working with markup tables	
T	1	eqfr5mst-00317.dita		Changing a markup table	Working with markup tables	
T	1	eqfr5mst-00318.dita		Creating a markup table	Working with markup tables	
T	1	eqfr5mst-00319.dita		Deleting a markup table	Working with markup tables	
