F	x	x		x	FRONTMATTER	
T	1	eqfr5mst-00230.dita	memory_ItmCreate	Creating an Initial Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00231.dita	memory_Import	Importing a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00232.dita	memory_Merge	Merging Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00233.dita	memory_Archive	Archiving a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00234.dita	memory_Organize	Organizing a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00235.dita	memory_ItmRevise	Revising an Initial Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00236.dita	memory_ItmEditor	The Initial Translation Memory editor	Working with Translation Memory databases	
T	2	eqfr5mst-00237.dita	memory_ItmEditorFile	File menu	Working with Translation Memory databases	
T	2	eqfr5mst-00238.dita	memory_ItmEditorEdit	Edit menu	Working with Translation Memory databases	
T	2	eqfr5mst-00239.dita	memory_ItmEditorAlign	Align menu	Working with Translation Memory databases	
T	2	eqfr5mst-00240.dita	memory_ItmEditorOptions	Options menu	Working with Translation Memory databases	
T	2	eqfr5mst-00241.dita	memory_ItmEditorCursor	Cursor menu	Working with Translation Memory databases	
T	2	eqfr5mst-00242.dita	memory_ItmEditorStyle	Style menu	Working with Translation Memory databases	
T	1	eqfr5mst-00243.dita	memory_Revise	Revising a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00244.dita	memory_Search	Searching a translation	Working with Translation Memory databases	
T	1	eqfr5mst-00245.dita	memory_Editor	The Translation Memory editor	Working with Translation Memory databases	
T	2	eqfr5mst-00246.dita	memory_EditorFile	File menu	Working with Translation Memory databases	
T	2	eqfr5mst-00247.dita	memory_EditorEdit	Edit menu	Working with Translation Memory databases	
T	2	eqfr5mst-00248.dita	memory_EditorOptions	Options menu	Working with Translation Memory databases	
T	2	eqfr5mst-00249.dita	memory_EditorStyle	Style menu	Working with Translation Memory databases	
T	1	eqfr5mst-00250.dita	memory_ExternalRevise	Revising external Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00251.dita	memory_SharedLan	Sharing LAN-based Translation Memories	Working with Translation Memory databases	
T	2	eqfr5mst-00251-A.dita	memory_SharedLanConnect	Connecting or disconnecting a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00251-B.dita	memory_SharedLanDelete	Deleting a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00251-C.dita	memory_SharedLanFindOwner	Finding the owner of a LAN-based shared Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00252.dita	memory_SharedWeb	Sharing WEB-based Translation Memories	Working with Translation Memory databases	
T	2	eqfr5mst-00252-1.dita	memory_SharedWebInstall	Installation of important Client components	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1A.dita	memory_SharedWebInstallAxis2cDownload	Downloading Axis2C to the OpenTM2 Client PC	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1B.dita	memory_SharedWebInstallAxis2cInstall	Installing Axis2C on the OpenTM2 Client PC	Working with Translation Memory databases	
T	3	eqfr5mst-00252-1C.dita	memory_SharedWebInstallAxis2cConfigure	Configure Axis2c on the OpenTM2 Client	Working with Translation Memory databases	
T	2	eqfr5mst-00252-2.dita	memory_SharedWebInstallSteps	Installation of important Server components	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2A.dita	memory_SharedWebInstallMariaDBInstall	Installing MariaDB on the Server	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2B.dita	memory_SharedWebInstallMariaDBSetup	Setup and configure MariaDB on the Server	Working with Translation Memory databases	
T	3	eqfr5mst-00252-2C.dita	memory_SharedWebInstallMariaDBCreate	Create a Shared Translation Memory on the Server	Working with Translation Memory databases	
T	2	eqfr5mst-00252-3.dita	memory_SharedWebUsing	A Translation Scenario using the OpenTM2 WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3A.dita	memory_SharedWebUsingCreate	Creating a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3B.dita	memory_SharedWebUsingConnect	Connecting or Disconnecting a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3C.dita	memory_SharedWebUsingDelete	Deleting a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3D.dita	memory_SharedWebUsingUsers	User List Operations	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3G.dita	memory_SharedWebUsingFindOwner	Finding the owner of a WEB-based Shared Translation Memory	Working with Translation Memory databases	
T	3	eqfr5mst-00252-3H.dita	memory_SharedWebUsingBackup	How to backup a WEB-based Shared Translation Memory DB	Working with Translation Memory databases	
T	1	eqfr5mst-00255.dita	memory_PropertiesView	Viewing the properties of a Translation Memory	Working with Translation Memory databases	
